EARNINGS_VIEW_LVL1,EARNINGS_VIEW_LVL2,EARNINGS_VIEW_LVL3,CALENDAR_YEAR,TRIR,TRIR_P3_PLUS,TRI_CNT,TRI_P3_PLUS_CNT,LTIR,LTIR_EMP,LTIR_CONT,LTI_CNT,ACTUAL_HURT_A3,ACTUAL_HURT_A4,SPILLS
Upstream,Conventional / HO,Malaysia / Thailand,2020,0.091043,0.000000,7,0,0.000000,0.000000,0.000000,0,0,0,0
Upstream,Conventional / HO,Vietnam,2019,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0,0,0,0
Upstream,Conventional / HO,Indonesia,2021,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0,0,0,0
Upstream,Conventional / HO,Vietnam,2022,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0,0,0,0
Upstream,Conventional / HO,US Conventional,2022,0.201450,0.000000,2,0,0.100725,0.222152,0.000000,1,0,0,1
Product Solutions,Specialty Products,FL LA MBU,2023,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0,0,0,0
Supply Chain Central Org.,Supply Chain Central Org.,Supply Chain Central Org.,2023,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0,0,0,0
Product Solutions,Energy Products,ALL,2019,0.052321,0.000000,1,0,0.052321,0.058275,0.000000,1,0,0,3
Upstream,Deep Water,Brazil,2019,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0,0,0,0
Upstream,Conventional / HO,Malaysia / Thailand,2021,0.013714,0.000000,1,0,0.000000,0.000000,0.000000,0,0,0,0
Product Solutions,Energy Products,AP Fuels - AP,2021,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0,0,0,0
Product Solutions,Energy Products,AM Fuels - US North,2020,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0,0,0,0
Out of scope,Out of scope,Out of scope,2019,0.162529,0.019960,114,14,0.028514,0.029297,0.027903,20,1,0,1
Upstream,UNC,Midland CBP,2022,0.463365,0.071287,13,2,0.106930,0.000000,0.128651,3,0,1,34
Product Solutions,Energy Products,EAME Fuels - FUNM,2022,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0,0,0,0
Upstream,UNC,Bakken,2022,0.334184,0.000000,6,0,0.055697,0.000000,0.065236,1,0,0,10
Upstream,Conventional / HO,ALL,2020,0.174197,0.008567,61,3,0.025701,0.029584,0.024118,9,1,0,14
Product Solutions,Chem Products,Other Chem,2022,0.133210,0.006055,22,1,0.018165,0.032844,0.000000,3,0,0,2
Product Solutions,Chem Products,Other Chem,2019,0.099492,0.014924,20,3,0.019898,0.029175,0.010184,4,0,0,6
Upstream,Conventional / HO,US Conventional,2019,0.498022,0.083004,18,3,0.055336,0.000000,0.074057,2,0,0,2
Upstream,UNC,Bakken,2020,0.329685,0.000000,5,0,0.000000,0.000000,0.000000,0,0,0,4
Upstream,Conventional / HO,Iraq,2019,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0,0,0,0
Product Solutions,Energy Products,AM Fuels - US South,2021,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0,0,0,0
Upstream,Deep Water,ALL,2020,0.084097,0.022936,11,3,0.022936,0.065614,0.009968,3,1,1,2
Product Solutions,Chem Products,Other Chem,2021,0.144456,0.005556,26,1,0.027780,0.043545,0.011347,5,0,0,3
Upstream,UNC,Bakken,2023,0.272826,0.136413,4,2,0.136413,0.000000,0.159057,2,0,0,12
Upstream,Deep Water,Angola,2020,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0,0,0,0
Product Solutions,Energy Products,EAME Fuels - EAME Trading,2021,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0,0,0,0
Product Solutions,Specialty Products,FL NA MBU,2021,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0,0,0,0
Upstream,Deep Water,Romania,2022,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0,0,0,0
Upstream,Conventional / HO,US Conventional,2023,0.211433,0.000000,2,0,0.105716,0.313101,0.000000,1,0,0,1
Upstream,Deep Water,NA Other,2023,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0,0,0,0
Upstream,Deep Water,Equatorial Guinea,2023,0.094577,0.000000,1,0,0.000000,0.000000,0.000000,0,0,0,0
Product Solutions,Energy Products,EAME Fuels - EAME BNLG,2022,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0,0,0,0
Upstream,UNC,Eastern,2023,0.132371,0.000000,3,0,0.000000,0.000000,0.000000,0,0,0,8
Upstream,Deep Water,Guyana,2022,0.140818,0.015646,9,1,0.015646,0.000000,0.016453,1,0,0,1
Upstream,Deep Water,Nigeria,2021,0.160130,0.000000,5,0,0.032026,0.000000,0.064824,1,0,0,1
Upstream,LNG,Mozambique,2022,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0,0,0,0
Upstream,Conventional / HO,Vietnam,2021,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0,0,0,0
Upstream,Conventional / HO,Norway / Azerbaijan / CNNS,2023,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0,0,0,0
